Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
5;RedBlackTree;Ordered;1000;0.402;92;0.095;24;0.131;43;
5;BinarySearchTree;Ordered;1000;1.122;503;2.199;1002;2.169;1003;
5;BinarySearch;Ordered;1000;0.083;20;0.09;19;1.241;522;
5;LinearSearch;Ordered;1000;5.458;1500;5.884;1501;0.028;5;
5;TreapTree;OrderedInverse;1000;0.118;7;0.109;12;0.059;5;
5;AVLTree;OrderedInverse;1000;0.112;33;0.078;23;0.075;31;
5;RedBlackTree;OrderedInverse;1000;0.352;77;0.085;23;0.159;53;
5;BinarySearchTree;OrderedInverse;1000;1.086;503;2.129;1002;2.146;1003;
5;BinarySearch;OrderedInverse;1000;1.576;526;0.095;19;0.066;17;
5;LinearSearch;OrderedInverse;1000;6.031;1001;5.079;1002;0.028;5;
5;TreapTree;AlmostOrdered;1000;0.199;8;0.126;11;0.119;7;
5;AVLTree;AlmostOrdered;1000;0.163;39;0.109;23;0.128;29;
5;RedBlackTree;AlmostOrdered;1000;0.378;81;0.116;29;0.168;40;
5;BinarySearchTree;AlmostOrdered;1000;1.101;503;2.139;1002;2.151;1003;
5;BinarySearch;AlmostOrdered;1000;0.326;82;0.114;19;1.599;459;
5;LinearSearch;AlmostOrdered;1000;4.798;1139;4.026;1140;0.074;13;
5;TreapTree;Random;1000;0.235;11;0.138;11;0.173;10;
5;AVLTree;Random;1000;0.233;36;0.131;23;0.167;32;
5;RedBlackTree;Random;1000;0.329;48;0.131;23;0.21;40;
5;BinarySearchTree;Random;1000;1.103;503;2.144;1002;2.143;1003;
5;BinarySearch;Random;1000;1.3;280;0.145;19;0.818;261;
5;LinearSearch;Random;1000;0.255;33;0.149;34;0.179;28;
6;TreapTree;Ordered;10;0.004;2;0.001;3;0.002;1;
6;AVLTree;Ordered;10;0.003;14;0.002;7;0.001;9;
6;RedBlackTree;Ordered;10;0.004;21;0.002;8;0.002;17;
6;BinarySearchTree;Ordered;10;0.002;8;0.002;12;0.001;13;
